0,00:00,7
2,00:03,9
4,00:06,7
6,00:09,4
7,00:12,4
9,00:15,7
11,00:18,5
13,00:21,6
15,00:24,15
17,00:27,7
19,00:30,19
20,00:33,16
22,00:36,30
24,00:39,21
26,00:42,30
28,00:45,18
30,00:48,21
31,00:51,12
33,00:54,4
35,00:57,6
37,01:00,11
39,01:03,14
41,01:06,18
43,01:09,22
44,01:12,22
46,01:15,21
48,01:18,23
50,01:21,9
52,01:24,43
54,01:27,22
56,01:30,20
57,01:33,14
59,01:36,12
61,01:39,7
63,01:42,5
65,01:45,3
67,01:48,6
69,01:51,9
70,01:54,12
72,01:57,9
74,02:00,12
76,02:03,13
78,02:06,13
80,02:09,5
82,02:12,18
83,02:15,23
85,02:18,21
87,02:21,10
89,02:24,5
91,02:27,4
93,02:30,3
94,02:33,1
96,02:36,2
98,02:39,6
100,02:42,5
102,02:45,5
104,02:48,2
106,02:51,5
107,02:54,4
109,02:57,4
111,03:00,7
113,03:03,5
115,03:06,11
117,03:09,9
119,03:12,11
120,03:15,5
122,03:18,6
124,03:21,21
126,03:24,19
128,03:27,12
130,03:30,15
132,03:33,7
133,03:36,10
135,03:39,5
137,03:42,5
139,03:45,7
141,03:48,10
143,03:51,5
144,03:54,5
146,03:57,6
148,04:00,5
150,04:03,7
152,04:06,7
154,04:09,12
156,04:12,10
157,04:15,9
159,04:18,12
161,04:21,12
163,04:24,12
165,04:27,13
167,04:30,12
169,04:33,14
170,04:36,15
172,04:39,14
174,04:42,15
176,04:45,13
178,04:48,5
180,04:51,11
182,04:54,12
183,04:57,14
185,05:00,13
187,05:03,11
189,05:06,12
191,05:09,19
193,05:12,19
195,05:15,9
196,05:18,12
198,05:21,2
200,05:24,10
202,05:27,4
204,05:30,2
206,05:33,6
207,05:36,16
209,05:39,14
211,05:42,12
213,05:45,29
215,05:48,19
217,05:51,14
219,05:54,15
220,05:57,13
222,06:00,5
224,06:03,9
226,06:06,9
228,06:09,13
230,06:12,5
232,06:15,11
233,06:18,9
235,06:21,7
237,06:24,5
239,06:27,11
241,06:30,14
243,06:33,19
245,06:36,7
246,06:39,16
248,06:42,16
250,06:45,12
252,06:48,12
254,06:51,12
256,06:54,13
257,06:57,19
259,07:00,14
261,07:03,19
263,07:06,21
265,07:09,15
267,07:12,5
269,07:15,10
270,07:18,16
272,07:21,19
274,07:24,19
276,07:27,15
278,07:30,16
280,07:33,20
282,07:36,23
283,07:39,23
285,07:42,23
287,07:45,19
289,07:48,16
291,07:51,19
293,07:54,16
295,07:57,16
296,08:00,19
298,08:03,19
300,08:06,18
302,08:09,20
304,08:12,19
306,08:15,23
307,08:18,23
309,08:21,24
311,08:24,24
313,08:27,22
315,08:30,27
317,08:33,23
319,08:36,21
320,08:39,19
322,08:42,18
324,08:45,19
326,08:48,19
328,08:51,14
330,08:54,4
332,08:57,19
333,09:00,53
335,09:03,74
337,09:06,4
339,09:09,4
341,09:12,4
343,09:15,4
345,09:18,4
346,09:21,55
348,09:24,4
350,09:27,4
352,09:30,39
354,09:33,19
356,09:36,24
358,09:39,41
359,09:42,44
361,09:45,39
363,09:48,42
365,09:51,41
367,09:54,29
369,09:57,54
370,10:00,29
372,10:03,32
374,10:06,36
376,10:09,26
378,10:12,28
380,10:15,23
382,10:18,28
383,10:21,42
385,10:24,38
387,10:27,24
389,10:30,24
391,10:33,4
393,10:36,24
395,10:39,54
396,10:42,34
398,10:45,36
400,10:48,42
402,10:51,45
404,10:54,36
406,10:57,30
408,11:00,37
409,11:03,54
411,11:06,33
413,11:09,30
415,11:12,24
417,11:15,30
419,11:18,4
420,11:21,24
422,11:24,4
424,11:27,55
426,11:30,36
428,11:33,30
430,11:36,54
432,11:39,20
433,11:42,21
435,11:45,4
437,11:48,4
439,11:51,4
441,11:54,4
443,11:57,4
445,12:00,52
446,12:03,54
448,12:06,4
450,12:09,48
452,12:12,66
454,12:15,57
456,12:18,70
458,12:21,66
459,12:24,69
461,12:27,72
463,12:30,65
465,12:33,67
467,12:36,67
469,12:39,56
471,12:42,4
472,12:45,50
474,12:48,71
476,12:51,34
478,12:54,4
480,12:57,4
482,13:00,4
483,13:03,4
485,13:06,4
487,13:09,4
489,13:12,4
491,13:15,4
493,13:18,4
495,13:21,44
496,13:24,23
498,13:27,4
500,13:30,83
502,13:33,87
504,13:36,86
506,13:39,88
508,13:42,89
509,13:45,88
511,13:48,89
513,13:51,89
515,13:54,88
